s.n.,name_of_province,district_name_english,district_name_nepali,palika_name_english,palika_name_nepali,palika_type,total_wards,municipal_center_english,municipal_center_nepali,municipal_center_sec_source,total_palikas,website,email,area_sq_km,total_population,total_male,total_female,total_households,long,lat,remarks
188,2,PARSA,पर्सा,Bindabasini Gaunpalika,बिन्दबासिनी गाउँपालिका,Gaunpalika,5,Bahuarba Batha,बहुअर्ब बाथअ,Bahuarba Batha,2,http://www.bindabasinimun.gov.np/,ito.bindabasinimun@gmail.com,26.04,24468,12636,11832,3576,84.81362,27.05427,
189,2,PARSA,पर्सा,Birgunj Metropolitian City,बिरगन्ज महानगरपालिका,Mahanagarpalika,27,Birganj,बिरगंज,Birganj,3,http://www.birgunjmun.gov.np/,,130,237068,125177,111891,39286,84.87029,27.01207,
190,2,PARSA,पर्सा,Chhipaharmai Gaunpalika,छिपहरमाई गाउँपालिका,Gaunpalika,5,Bhisawa,भिसवा,Bhisawa,4,http://www.chhipaharmaimun.gov.np/,chhipaharmaimun@gmail.com,24.9,26671,13634,13037,3983,84.68359,27.03676,
191,2,PARSA,पर्सा,Dhobini Gaunpalika,धोबीनी गाउँपालिका,Gaunpalika,5,Langadi,लङदि,Langadi,5,http://www.dhobinimun.gov.np/,dhobinimun@gmail.com,24.41,19911,10192,9719,2975,84.70128,27.0852,
192,2,PARSA,पर्सा,Jagarnathpur Gaunpalika,जगरनाथपुर गाउँपालिका,Gaunpalika,6,Jagarnathpur,जगर्नाथपुर्,Jagarnathpur,6,http://www.jagarnathpurmun.gov.np/,,44.4,32337,16637,15700,4953,84.72108474,27.14088888,
193,2,PARSA,पर्सा,Jirabhawani Gaunpalika,जिराभवानी गाउँपालिका,Gaunpalika,,Saedawa,सएदवा,Saedawa,7,http://www.jirabhawanimun.gov.np/,ito.jirabhawanimun@gmail.com,55.39,22765,11367,11398,4117,84.717239,27.194978,
194,2,PARSA,पर्सा,Kalikamai Gaunpalika,कालिकामाई गाउँपालिका,Gaunpalika,,Mungraeli,मुङ्रएलि,Mungraeli,8,http://www.kalikamaimun.gov.np/,kalikamaimun@gmail.com,24.33,21141,10939,10202,3042,84.71594,27.07864,
195,2,PARSA,पर्सा,Pakaha Mainpur Gaunpalika,पकाहा मैनपुर गाउँपालिका,Gaunpalika,5,Mainpur,मैन्पुर,Mainpur Pakaha,9,http://www.pakahamainpurmun.gov.np/,pakahamainpurmun@gmail.com,21.26,20717,10799,9918,3038,84.74897,27.02721,
196,2,PARSA,पर्सा,Parsagadhi Municipality,पर्सागढी नगरपालिका,Nagarpalika,6,Harpur,हर्पुर्,Harpur,10,http://www.parsagadhimun.gov.np/,,101,39885,20216,19669,6412,84.87675772,27.14684209,
197,2,PARSA,पर्सा,Paterwa Sugauli Gaunpalika,पटेर्वा सुगौली गाउँपालिका,Gaunpalika,7,Paterwa,पतेर्व,Paterwa,11,http://www.paterwasugaulimun.gov.np/,paterwasugauligaupalika@gmail.com,64.29,23415,11850,11565,4002,84.76591,27.17476,
198,2,PARSA,पर्सा,Pokhariya Municipality,पोखरिया नगरपालिका,Nagarpalika,11,Pokhariya,पोखरिय,Pokhariya,12,http://www.pokhariyamun.gov.np/,,32.47,28970,14869,14101,4875,84.760554,27.079736,
199,2,PARSA,पर्सा,Sakhuwa Prasauni Gaunpalika,सखुवा प्रसौनी गाउँपालिका,Gaunpalika,6,Prasauni,प्रसाउनई,Sakhuwa Prasauni,13,http://www.sakhuwaprasaunimun.gov.np/,,74.27,33048,16798,16250,5329,84.8031005,27.1103519,
200,2,PARSA,पर्सा,Thori Gaunpalika,ठोरी (सुवर्णपुर) गाउँपालिका,Gaunpalika,,Subarnapur,सुबर्णपुर,Subarnapur,14,http://www.thorimun.gov.np/,ito.thorirmun@gmail.com,129,20397,9832,10565,4247,84.70713,27.22498,
201,2,RAUTAHAT,रौतहट,Boudhimai Municipality,बौधीमाई नगरपालिका,Nagarpalika,7,Sarmajuwa,सर्माजुवा,Sarmajuwa,1,http://www.baudhimaimun.gov.np/,,36.18,34460,17863,16597,4807,85.18973,26.87527,
202,2,RAUTAHAT,रौतहट,Brindaban Municipality,बृन्दावन नगरपालिका,Nagarpalika,8,Bishrampur,बिश्रम्पुर्,Bishrampur,2,http://www.brindawanmun.gov.np/,,95.4,42735,21811,20924,6374,85.37201,27.02281,
203,2,RAUTAHAT,रौतहट,Chandrapur Municipality,चन्द्रपुर नगरपालिका,Nagarpalika,10,Chandrapur,चन्द्रपुर्,Chandrapur,3,http://www.chandrapurmun.gov.np/,,250,72059,35858,36201,13445,85.3533434,27.1126186,
204,2,RAUTAHAT,रौतहट,Dewahi Gonahi Municipality,देवाही गोनाही नगरपालिका,Nagarpalika,7,Prempur Gonahi,प्रेम्पुर गोनहि,Prempur Gonahi,4,http://www.dewahigonahimun.gov.np/,,33.15,30948,15839,15109,4691,85.26179,26.92987,
205,2,RAUTAHAT,रौतहट,Durga Bhagawati Gaunpalika,दुर्गा भगवती गाउँपालिका,Gaunpalika,8,Gangapipara,गङ्गापिपरा,Gangapipara,5,http://www.durgabhagawatimun.gov.np/,ito.durgabhagawatimun@gmail.com,19.8,22699,11892,10807,3812,85.33042,26.84646,
206,2,RAUTAHAT,रौतहट,Gadhimai Municipality,गढीमाई नगरपालिका,Nagarpalika,7,Samanpur,समान्पुर्,Samanpur,6,http://www.gadhimaimun.gov.np/,,49.44,45605,23391,22214,6069,85.3645778,26.9460063,
207,2,RAUTAHAT,रौतहट,Garuda Municipality,गरुडा नगरपालिका,Nagarpalika,9,Gauruda,गौरुद,Gauruda,7,http://www.garudamun.gov.np/,,44,49642,25573,24069,7444,85.30607,26.94713,
208,2,RAUTAHAT,रौतहट,Gaur Municipality,गौर नगरपालिका,Nagarpalika,13,Gaur,गौर्,Gaur,8,http://www.gaurmun.gov.np/,,21.53,34937,18290,16647,5635,85.27427,26.76238,
209,2,RAUTAHAT,रौतहट,Gujara Municipality,गुजरा नगरपालिका,Nagarpalika,9,Simara Bhawanipur,सिमरा भवानीपुर्,Simara Bhawanipur,9,http://www.gujaramun.gov.np/,,150,46592,23380,23212,7391,85.30949,27.0491,
210,2,RAUTAHAT,रौतहट,Ishanath Municipality,ईशनाथ नगरपालिका,Nagarpalika,9,Auraiya,औरैया,Auraiya,10,http://www.ishnathmun.gov.np/,,33.47,40402,20350,20052,5834,85.2216731,26.7883684,
211,2,RAUTAHAT,रौतहट,Katahariya Municipality,कटहरिया नगरपालिका,Nagarpalika,9,Katahariya,कतहरिय,Katahariya,11,http://www.kanchanrupmun.gov.np/,,41.16,32501,16788,15713,5919,85.2395413,26.9791991,
212,2,RAUTAHAT,रौतहट,Madhav Narayan Municipality,माधव नारायण नगरपालिका,Nagarpalika,9,Madhopur,मधोपुर्,Madhopur,12,http://madhavnarayanmun.gov.np/,,48.53,35175,18253,16922,5479,85.3418909,26.8905797,
213,2,RAUTAHAT,रौतहट,Maulapur Municipality,मौलापुर नगरपालिका,Nagarpalika,7,Pataura,पतौरा,Pataura,13,http://www.maulapurmun.gov.np/,,34.75,26424,13651,12773,3830,85.21646,26.94185,
214,2,RAUTAHAT,रौतहट,Paroha Municipality,परोहा नगरपालिका,Nagarpalika,8,Lokaha,लोकहाँ,Lokaha,14,http://www.parohamun.gov.np/,,39.16,38486,19727,18759,5380,85.23939,26.85004,
215,2,RAUTAHAT,रौतहट,Phatuwa Bijayapur Municipality,फतुवा बिजयपुर नगरपालिका,Nagarpalika,5,Laxminiya,लक्ष्मीनिय,Laxminiya,15,http://www.phatuwabijaypurmun.gov.np/,,66.05,36763,18687,18076,5633,85.202587,26.9745207,
216,2,RAUTAHAT,रौतहट,Rajdevi Municipality,राजदेवी नगरपालिका,Nagarpalika,,Rajdevi,राजदेवी,Rajdevi,16,http://www.rajdevimun.gov.np/,,33.53,32063,16770,15293,5365,85.3131795,26.7833835,
217,2,RAUTAHAT,रौतहट,Rajpur Municipality,राजपुर नगरपालिका,Nagarpalika,7,Rajpur Farhadawa,राजपुर फर्हदवा,Rajpur Farhadawa,17,http://rajpurmunrautahat.gov.np/,,31.41,41078,20324,20754,5768,85.27211,26.818173,
218,2,RAUTAHAT,रौतहट,Yamunamai Gaunpalika,यमुनामाई गाउँपालिका,Gaunpalika,,Saruaadha,सरुआध,Saruatha,18,http://www.yamunamaimun.gov.np/,,16.7,23884,12211,11673,3776,85.2911182,26.8144799,
219,2,SAPTARI,सप्तरी,Agmisair Krishna Sabaran Gaunpalika,अग्मीसयर कृष्ण सवरन गाउँपालिका,Gaunpalika,5,Sitapur,सितापुर्,Sitapur,1,http://www.agnisairkrishnasawaranmun.gov.np/,asks.gapa@gmail.com,103,27129,12846,14283,5422,86.76678,26.62465,
220,2,SAPTARI,सप्तरी,Balan-Bihul Gaunpalika,बलान बिहुल गाउँपालिका,Gaunpalika,,Malhaniya,मल्हनिय,Malhaniya,2,http://www.balanbihulmun.gov.np/,,33.04,21819,10796,11023,3976,86.51911,26.59866,
221,2,SAPTARI,सप्तरी,Bishnupur Gaunpalika,बिष्णुपुर गाउँपालिका,Gaunpalika,7,Itahari Bishnupur,इतहरी बिष्णुपुर्,Itahari Bishnupur,4,http://www.bishnupurmunsaptari.gov.np/,,36.62,23038,11438,11600,4370,86.25566,26.73001,
222,2,SAPTARI,सप्तरी,Bode Barsain Municipality,बोदेबरसाईन नगरपालिका,Nagarpalika,16,Bode Barsain,बोदे बर्षआइन्,Bode Barsain,5,http://www.bodebarsainmun.gov.np/,,58.93,43229,21319,21910,8022,86.5827683,26.5720174,
223,2,SAPTARI,सप्तरी,Chhinnamasta Gaunpalika,छिन्नमस्ता गाउँपालिका,Gaunpalika,8,Chhinnamasta,छिनामस्त,Chhinnamasta,6,http://www.chhinnamastamun.gov.np/,,38.71,28390,14199,14191,5439,86.7314798,26.4504847,
224,2,SAPTARI,सप्तरी,Dakneshwori Municipality,डाक्नेश्वरी नगरपालिका,Nagarpalika,11,Pato,पातो,Pato,7,http://www.dakneshworimun.gov.np/,,70.77,43143,20877,22266,8149,86.60746,26.50276,
225,2,SAPTARI,सप्तरी,Hanumannagar Kankalini Municipality,हनुमाननगर कङ्कालिनी नगरपालिका,Nagarpalika,14,Hanumannagar yogini mai,हनुमन्नगर योगिनी मै,Hanumannagar Yogimai,8,http://www.hanumannagarkankalinimun.gov.np/,,118,45734,22725,23009,8152,86.8597,26.5058,
226,2,SAPTARI,सप्तरी,Kanchanrup Municipality,कन्चनरुप नगरपालिका,Nagarpalika,12,Kanchanrup,कन्चन्रुप्,Kanchanrup,9,http://www.katahariyamun.gov.np/,,117,47424,23055,24369,10192,86.90901,26.64183,
227,2,SAPTARI,सप्तरी,Khadak Municipality,खडक नगरपालिका,Nagarpalika,11,Kalyanpur,कल्यन्पुर्,Kalyanpur,10,http://www.khadakmun.gov.np/,,96.77,45368,21308,24060,8615,86.62331,26.6427,
228,2,SAPTARI,सप्तरी,Mahadewa Gaunpalika,महादेवा गाउँपालिका,Gaunpalika,6,Bathanaha,बाथआनह,Bathanaha,11,http://www.mahadevamun.gov.np/,mahadevarmun@gmail.com,34.97,28542,14215,14327,5395,86.8327,26.5303,
229,2,SAPTARI,सप्तरी,Rajbiraj Municipality,राजविराज नगरपालिका,Nagarpalika,15,Rajbiraj,राजबिराज,Rajbiraj,12,http://www.rajbirajmun.gov.np/,,55.27,68396,35092,33304,13350,86.74786,26.54039,
230,2,SAPTARI,सप्तरी,Rajgud Gaunpalika,राजगढ गाउँपालिका,Gaunpalika,,Nargho,नर्घो,Nargho,3,http://www.belhichapenamun.gov.np/,,47.92,29459,14487,14972,5242,86.665472,26.492972,
231,2,SAPTARI,सप्तरी,Rupani Gaunpalika,रुपनी गाउँपालिका,Gaunpalika,6,Rayapur,रायपुर्,Rayapur,13,http://www.rupanimun.gov.np/,,56.08,25397,12360,13037,5012,86.71197,26.62706,
232,2,SAPTARI,सप्तरी,Saptakoshi Municipality,सप्तकोशी नगरपालिका,Gaunpalika,11,Prasaha,प्रसह,Prasaha,14,http://www.saptakoshimun.gov.np/,,60.25,21131,10018,11113,4539,86.93876,26.72484,
233,2,SAPTARI,सप्तरी,Shambhunath Municipality,शम्भुनाथ नगरपालिका,Nagarpalika,11,Shambhunath,षम्भुनाथ,Shambhunath,15,http://www.shambhunathmun.gov.np/,,107,35814,17050,18764,6764,86.66734,26.63477,
234,2,SAPTARI,सप्तरी,Surunga Municipality,सुरुङ्गा नगरपालिका,Nagarpalika,11,Madhupati,मधुपति,Madhupati,16,http://www.surungamun.gov.np/,,107,44222,20787,23435,8650,86.53512,26.70725,
235,2,SAPTARI,सप्तरी,Tilathi Koiladi Gaunpalika,तिलाठी कोईलाडी गाउँपालिका,Gaunpalika,8,Tilathi,टिलथि,Tilathi,17,http://www.tilathikoiladimun.gov.np/,,32.91,31735,16184,15551,5697,86.76692,26.46727,
236,2,SAPTARI,सप्तरी,Tirahut Gaunpalika,तिरहुत गाउँपालिका,Gaunpalika,5,Goithi,गोइथि,Goithi,18,http://www.tirahutmun.gov.np/,,37.81,22010,10913,11097,4078,86.8466652,26.5764861,
237,2,SARLAHI,सर्लाही,Bagmati Municipality,बागमती नगरपालिका,Nagarpalika,10,Kamaiya,कमैया,Kamaiya,1,http://www.bagmatimunsarlahi.gov.np/,,101,40399,19593,20806,7984,85.49275,27.11901,
238,2,SARLAHI,सर्लाही,Balara Municipality,बलरा नगरपालिका,Nagarpalika,12,Balara,बलरा,Balara,2,http://www.balramun.gov.np/,,43.23,43700,22875,20825,7693,85.3738904,26.77203,
239,2,SARLAHI,सर्लाही,Barahathawa Municipality,बरहथवा नगरपालिका,Nagarpalika,18,Barahathawa,बाराहथवा,Barahathawa,3,http://www.barhathwamun.gov.np/,,107,69822,35206,34616,11853,85.4668611,26.9999536,
240,2,SARLAHI,सर्लाही,Basbariya Gaunpalika,बसबरिया गाउँपालिका,Gaunpalika,,Bhawanipur,भवानीपुर्,Bhawanipur,4,http://www.basbariyamun.gov.np/,basbariyarmun@gmail.com,29.42,23568,12193,11375,3699,85.4479941,26.9135215,
241,2,SARLAHI,सर्लाही,Bishnu Gaunpalika,विष्णु गाउँपालिका,Gaunpalika,12,Simara,सिमरा,Simara,5,http://www.bishnumun.gov.np/,bishnumun@gmail.com,28.09,24748,12861,11887,4008,85.48609,26.82124,
242,2,SARLAHI,सर्लाही,Brahmapuri Gaunpalika,ब्रह्मपुरी गाउँपालिका,Gaunpalika,9,Brahmapuri,ब्रह्मपुरि,Brahmapuri,6,http://www.brahmapurimun.gov.np/,brahmpuri.gp.sarlahi@gmail.com,33.89,29832,15281,14551,4735,85.6305901,26.9005284,
243,2,SARLAHI,सर्लाही,Chakraghatta Gaunpalika,चक्रघट्टा गाउँपालिका,Gaunpalika,13,Khoriya,खोरिया,Khoriya,7,http://www.chakraghattamun.gov.np/,chakraghatta@gmail.com,25.16,27952,14306,13646,4409,85.51142,26.89994,
244,2,SARLAHI,सर्लाही,Chandranagar Gaunpalika,चन्द्रनगर गाउँपालिका,Gaunpalika,7,Chandranagar,चन्द्राणागर्,Chandranagar,8,http://www.chandranagarmun.gov.np/,ito.chandranagarmun@gmail.com,47.5,33328,16994,16334,5540,85.5981515,26.9362079,
245,2,SARLAHI,सर्लाही,Dhanakaul Gaunpalika,धनकौल गाउँपालिका,Gaunpalika,9,Dhanakaul Pachhawa,ढनकौल पछव,Dhanakaul Pachhawa,9,http://www.dhankaulmun.gov.np/,,45.94,24788,12672,12116,3964,85.4187743,26.90141671,
246,2,SARLAHI,सर्लाही,Godaita Municipality,गोडैटा नगरपालिका,Nagarpalika,11,Godaita,गोदैता,Godaita,10,http://www.godaitamun.gov.np/,,48.62,47687,24548,23139,7902,85.4637959,26.8579876,
247,2,SARLAHI,सर्लाही,Haripur Municipality,हरिपुर नगरपालिका,Nagarpalika,10,Haripur,हरिपुर्,Haripur,11,http://www.haripurmun.gov.np/,,66.86,37351,18567,18784,6517,85.57169,27.0184,
248,2,SARLAHI,सर्लाही,Haripurwa Municipality,हरिपुर्वा नगरपालिका,Nagarpalika,11,Haripurwa,हरिपुर्वा,Haripurwa,12,http://www.haripurwamun.gov.np/,,30.5,36042,18577,17465,5904,85.68189,26.90412,
249,2,SARLAHI,सर्लाही,Hariwan Municipality,हरिवन नगरपालिका,Nagarpalika,11,Hariwan,हरिवन्,Hariwan,13,http://www.harionmun.gov.np/,,95.39,43924,21395,22529,8601,85.55639,27.08738,
250,2,SARLAHI,सर्लाही,Ishworpur Municipality,ईश्वरपुर नगरपालिका,Nagarpalika,15,Ishworpur,ईश्वरपुर्,Ishworpur,14,http://www.ishworpurmun.gov.np/,,160,58956,29113,29843,11073,85.65353,27.00083,
251,2,SARLAHI,सर्लाही,Kabilashi Municipality,कविलासी नगरपालिका,Nagarpalika,8,Kabilashi,कबिलशि,Kabilashi,15,http://www.kawilasimun.gov.np/,,48.11,42336,21791,20545,6871,85.54577,26.93285,
252,2,SARLAHI,सर्लाही,Kaudena Gaunpalika,कौडेना गाउँपालिका,Gaunpalika,,Kaudena,कौदेन,Kaudena,16,http://www.kaudenamun.gov.np/,,25.33,26085,13387,12698,4073,85.513,26.8614,
253,2,SARLAHI,सर्लाही,Lalbandi Municipality,लालबन्दी नगरपालिका,Nagarpalika,17,Lalbandi,लाल्बन्दि,Lalbandi,17,http://www.lalbandimun.gov.np/,,242,60425,29325,31100,12238,85.63419,27.05141,
254,2,SARLAHI,सर्लाही,Malangawa Municipality,मलंगवा नगरपालिका,Nagarpalika,12,Malangawa,मलङव,Malangawa,18,http://www.malangwamun.gov.np/,,30.44,46516,23821,22695,7912,85.55733,26.85539,
255,2,SARLAHI,सर्लाही,Parsa Gaunpalika,पर्सा गाउँपालिका,Gaunpalika,,Parsa,पर्सा,Parsa,19,http://www.parsamun.gov.np/,,23.12,21650,11227,10423,3342,85.6506697,26.8739492,
256,2,SARLAHI,सर्लाही,Ramnagar Gaunpalika,रामनगर गाउँपालिका,Gaunpalika,10,Ramnagar Bahuarwa,रम्नगर बहुअर्व,Ramnagar Bahuarwa,20,http://www.ramnagarmun.gov.np/,,26.44,28727,14922,13805,4485,85.38433,26.84281,
257,2,SIRAHA,सिरहा,Arnama Gaunpalika,अर्नमा गाउँपालिका,Gaunpalika,5,Arnama,अर्नमा,Arnama,1,http://www.anarmamun.gov.np/,,37.76,22912,10940,11972,4047,86.28148,26.69351,
258,2,SIRAHA,सिरहा,Aurahi Gaunpalika,औरही गाउँपालिका,Gaunpalika,5,Aurahi,औराहि,Aurahi,2,http://www.aurahimundhanusha.gov.np/,,35.87,23046,11116,11930,4245,86.30041716,26.63470279,
259,2,SIRAHA,सिरहा,Bariyarpatti Gaunpalika,बरियारपट्टी गाउँपालिका,Gaunpalika,5,Bariyarpatti,बारीयारपत्ति,Bariyarpatti,3,http://www.bariyapattimun.gov.np/,,37.72,25256,12505,12751,4264,86.3367362,26.6248062,
260,2,SIRAHA,सिरहा,Bhagawanpur Gaunpalika,भगवानपुर गाउँपालिका,Gaunpalika,5,Bhagawanpur,भागअवन्पुर्,Bhagawanpur,4,http://www.bhagwanpurmun.gov.np/,,34.24,20957,10291,10666,3661,86.4740767,26.594865,
261,2,SIRAHA,सिरहा,Bishnupur Gaunpalika,विष्णुपुर गाउँपालिका,Gaunpalika,5,Bishnupur,बिष्णुपुर्,Bishnupur,5,http://www.nawarajpurmun.gov.np/,,26.34,18522,8862,9660,3469,86.7418668,26.5180241,
262,2,SIRAHA,सिरहा,Dhangadhimai Municipality,धनगढीमाई नगरपालिका,Nagarpalika,14,Dhangadhimai,ढङधिमै,Dhangadhimai,6,http://www.dhangadhimaimun.gov.np/,,160,47449,23430,24019,8757,86.39565,26.75968,
263,2,SIRAHA,सिरहा,Golbazar Municipality,गोलबजार नगरपालिका,Nagarpalika,13,Golbazar,गोल्बजार,Golbazar,7,http://www.golbazarmun.gov.np/,,112,52137,25394,26743,10110,86.32958,26.79356,
264,2,SIRAHA,सिरहा,Kalyanpur Municipality,कल्याणपुर नगरपालिका,Nagarpalika,12,Kalyanpur Jabadi,कल्यान्पुर जबदि,Kalyanpur Jabadi,8,http://www.kalyanpurmun.gov.np/,,76.81,50825,23793,27032,9391,86.210764,26.7622005,
265,2,SIRAHA,सिरहा,Karjanha Municipality,कर्जन्हा नगरपालिका,Nagarpalika,7,Karjanha,कर्जन्ह,Karjanha,9,http://www.karjanhamun.gov.np/,,76.84,30967,14770,16197,6088,86.1935848,26.8607303,
266,2,SIRAHA,सिरहा,Lahan Municipality,लहान नगरपालिका,Nagarpalika,24,Lahan,लाहान,Lahan,10,http://www.lahanmun.gov.np/,,167,93461,46473,46988,17182,86.48085,26.72143,
267,2,SIRAHA,सिराहा,Laxmipur Patari Gaunpalika,लक्ष्मीपुर पतारी गाउँपालिका,Gaunpalika,6,Maheshpur Patari,महेश्पुर पतरि,Maheshpur Patari,11,http://www.laxmipurpatarimun.gov.np/,laxmipurpatari@gmail.com,42.33,26913,13111,13802,4830,86.3964,26.67196,
268,2,SIRAHA,सिरहा,Mirchaiya Municipality,मिर्चेया नगरपालिका,Nagarpalika,12,Mirchaiya,मिर्चैया,Mirchaiya,12,http://www.mirchaiyamun.gov.np/,,91.97,50052,24464,25588,9333,86.24258,26.82265,
269,2,SIRAHA,सिरहा,Naraha Gaunpalika,नरहा गाउँपालिका,Gaunpalika,5,Naraha,नरह,Naraha,13,http://www.narahamun.gov.np/,narahagapa@gmail.com,29.28,19369,9303,10066,3673,86.2700258,26.7655644,
270,2,SIRAHA,सिरहा,Nawarajpur Gaunpalika,नवराजपुर गाउँपालिका,Gaunpalika,5,Nawarajpur,नवराजपुर्,Nawarajpur,14,http://www.nawarajpurmun.gov.np/,,32.18,19019,9315,9704,3280,86.4085427,26.5985397,
271,2,SIRAHA,सिरहा,Sakhuwa Nankarkatti Gaunpalika,सखुवानान्कारकट्टी गाउँपालिका,Gaunpalika,8,Sakhuwa Nankarkatti,सखुवा नन्कर्कत्ति,Sakhuwa Nankarkatti,15,http://www.sakhuwanankarkattimun.gov.np/,,31.63,18558,8862,9696,3388,86.50134,26.6427,
272,2,SIRAHA,सिरहा,Siraha Municipality,सिराहा नगरपालिका,Nagarpalika,22,Siraha,सिरहा,Siraha,16,http://www.sirahamun.gov.np/,,94.2,82531,39706,42825,15477,86.2051834,"26.6552531,",
273,2,SIRAHA,सिरहा,Sukhipur Municipality,सुखीपुर नगरपालिका,Nagarpalika,,Sukhipur,सुखिपुर,Sukhipur,17,http://www.sukhipurmun.gov.np/,,54.78,36883,17880,19003,6734,86.342914,26.7088609,
274,3,BHAKTAPUR,भक्तपुर,Bhaktapur Municipality,भक्तपुर नगरपालिका,Nagarpalika,10,Bhaktapur,भक्तपुर्,Bhaktapur,1,http://www.bhaktapurmun.gov.np/,,6.56,81748,41081,40667,17639,85.436882,27.677396,
275,3,BHAKTAPUR,भक्तपुर,Changunarayan Municipality,चाँगुनारायण नगरपालिका,Nagarpalika,9,Nagarkot,नगर्कोत्,Nagarkot,2,http://www.changunarayanmun.gov.np/,,62.98,63705,30887,32818,13929,85.453439,27.688489,
276,3,BHAKTAPUR,भक्तपुर,Madhyapur Thimi Municipality,मध्यपुर थिमी नगरपालिका,Nagarpalika,9,Madhyapur Thimi,मध्यपुर ठिमि,Madhyapur Thimi,3,http://www.madhyapurthimimun.gov.np/,,11.11,83036,42723,40313,20302,85.389758,27.683695,
277,3,BHAKTAPUR,भक्तपुर,Suryabinayak Municipality,सूर्य्विनायक नगरपालिका,Nagarpalika,10,Katunje,कतुन्जे,Katunje,4,http://www.suryabinayakmun.gov.np/,,42.46,79534,39443,40091,18677,85.402867,27.667326,
278,3,CHITAWAN,चितवन,Bharatpur Metropolitian City,भरतपुर महानगरपालिका,Mahanagarpalika,29,Bharatpur,भरतपुर,Bharatpur,1,http://www.bharatpurmun.gov.np/,,433,276640,132210,144430,68090,84.428535,27.689185,
279,3,CHITAWAN,चितवन,Ichchha Kamana Gaunpalika,इच्छाकामना गाउँपालिका,Gaunpalika,7,Daraechowk,डरएचोक,Daraechowk,2,http://www.ichchhakamanamun.gov.np/,ichchhakamanaruralmun@gmail.com,167,25002,12460,12542,4778,84.626098,27.869779,
280,3,CHITAWAN,चितवन,Kalika Municipality,कालिका नगरपालिका,Nagarpalika,11,Kalikatar,कालिकातर्,Kalikatar,3,http://www.kalikamun.gov.np/,,149,27569,13114,14455,5885,84.532032,27.674617,
281,3,CHITAWAN,चितवन,Khairahani Municipality,खैरहनी नगरपालिका,Nagarpalika,13,Khairahani,खैरहनि,Khairahani,4,http://www.khairhanimun.gov.np/,,85.55,56832,26432,30400,12472,84.562715,27.605812,
282,3,CHITAWAN,चितवन,Madi Municipality,माडी नगरपालिका,Nagarpalika,9,Madi,मदि,Madi,5,http://www.maddimun.gov.np/en,,218,37683,16876,20807,8960,84.318402,27.455156,
283,3,CHITAWAN,चितवन,Rapti Municipality,राप्ती नगरपालिका,Nagarpalika,13,Bhandara,भन्दारा,Rapti,6,http://www.raptimun.gov.np/,,212,58107,27729,30378,12055,84.646021,27.603984,
284,3,CHITAWAN,चितवन,Ratnanagar Municipality,रत्ननगर नगरपालिका,Nagarpalika,16,Ratnanagar,रत्ननगर,Ratnanagar,7,http://www.ratnanagarmun.gov.np/,,68.68,69113,32899,36214,15929,84.507994,27.623502,
285,3,DHADING,धादिङ,Benighat Rorang Gaunpalika,बेनीघाट रोराङ्ग गाउँपालिका,Gaunpalika,10,Benighat,बेनिघाट,Benighat,1,http://www.benighatrorangmun.gov.np/,ito.benighatrorangmun@gmail.com,207,31473,15590,15883,6134,84.769231,27.808438,
286,3,DHADING,धादिङ,Dhunibenshi Municipality,धुनीबेंशी नगरपालिका,Nagarpalika,9,Naubise,नबिसे,Naubise,2,http://www.dhunibeshimun.gov.np,,98.64,32313,15797,16516,7025,85.160235,27.717402,
287,3,DHADING,धादिङ,Gajuri Gaunpalika,गजुरी गाउँपालिका,Gaunpalika,8,Gajuri,गजुरि,Gajuri,3,http://www.gajurimun.gov.np/,info@gajurimun.gov.np,139,27084,13311,13773,5600,84.882807,27.804517,
288,3,DHADING,धादिङ,Galchhi Gaunpalika,गल्छी गाउँपालिका,Gaunpalika,8,Baireni,बैरेनि,Baireni,4,http://www.galchhimun.gov.np/,galchhigapa@gmail.com,119,25655,12342,13313,5410,84.994458,27.800175,
289,3,DHADING,धादिङ,Ganga Jamuna Gaunpalika,गंङ्गा जमुना गाउँपालिका,Gaunpalika,7,Phulkharka,फुल्खर्क,Phulkharka,5,http://www.gangajamunamun.gov.np/,info@gangajamunamun.gov.np,144,21784,9527,12257,4864,84.920962,28.062838,
290,3,DHADING,धादिङ,Jwalamukhi Gaunpalika,ज्वालामुखी गाउँपालिका,Gaunpalika,7,Chainpur,चैन्पुर्,Chainpur,6,http://www.jwalamukhimun.gov.np/,,113,23966,10573,13393,5730,84.833356,27.93378,
291,3,DHADING,धादिङ,Khaniyabas Gaunpalika,खनियाबास गाउँपालिका,Gaunpalika,5,Darkha,डर्ख,Darkha,7,http://www.khaniyabasmun.gov.np/,,105,12749,5847,6902,2651,85.009571,28.071363,
292,3,DHADING,धादिङ,Netrawati Dabjong Gaunpalika,नेत्रावती डवजोङ गाउँपालिका,Gaunpalika,5,Semjong,सेम्जोङ्,Semjong,8,http://www.netrawatimun.gov.np/,netrawatimun@gmail.com,70.5,12870,5603,7267,3121,84.995213,27.982431,
293,3,DHADING,धादिङ,Nilkhantha Municipality,नीलकण्ठ नगरपालिका,Nagarpalika,14,Dhading Bensi,ढादिङ बेसि,Dhading Bensi,9,http://www.nilkanthamun.gov.np/,,200,58515,26510,32005,13984,84.895955,27.911872,
